#,Threshold,Support,Chunk Size,Frequent Set Count,Run Time
1.0,1.0,8.0,881.0,90.0,160.45761108398438
2.0,1.0,44.0,4408.0,94.0,1056.3535690307617
3.0,1.0,88.0,8816.0,87.0,2153.747081756592
4.0,1.0,176.0,17632.0,83.0,4756.502389907837
5.0,1.0,264.0,26448.0,73.0,8554.210186004639
6.0,1.0,352.0,35264.0,72.0,11973.077297210693
7.0,1.0,440.0,44081.0,67.0,16250.172138214111
8.0,1.0,528.0,52897.0,62.0,20453.05347442627
9.0,1.0,617.0,61713.0,57.0,24147.14479446411
10.0,1.0,705.0,70529.0,58.0,28755.50103187561
11.0,1.0,793.0,79345.0,58.0,35163.40398788452
12.0,1.0,881.0,88162.0,58.0,41063.491106033325
1.0,5.0,44.0,881.0,8.0,263.10229301452637
2.0,5.0,220.0,4408.0,9.0,590.186357498169
3.0,5.0,440.0,8816.0,9.0,1490.7681941986084
4.0,5.0,881.0,17632.0,9.0,3689.4829273223877
5.0,5.0,1322.0,26448.0,9.0,6632.165193557739
6.0,5.0,1763.0,35264.0,9.0,9372.87950515747
7.0,5.0,2204.0,44081.0,9.0,13325.33597946167
8.0,5.0,2644.0,52897.0,8.0,17057.316064834595
9.0,5.0,3085.0,61713.0,7.0,21398.91815185547
10.0,5.0,3526.0,70529.0,7.0,26145.413637161255
11.0,5.0,3967.0,79345.0,7.0,29671.425104141235
12.0,5.0,4408.0,88162.0,7.0,34728.89947891235
1.0,10.0,88.0,881.0,5.0,295.28284072875977
2.0,10.0,440.0,4408.0,4.0,576.7345428466797
3.0,10.0,881.0,8816.0,4.0,1500.5028247833252
4.0,10.0,1763.0,17632.0,4.0,3597.295045852661
5.0,10.0,2644.0,26448.0,5.0,6575.25634765625
6.0,10.0,3526.0,35264.0,4.0,9376.537322998047
7.0,10.0,4408.0,44081.0,4.0,13777.719020843506
8.0,10.0,5289.0,52897.0,4.0,17914.85095024109
9.0,10.0,6171.0,61713.0,4.0,22210.82830429077
10.0,10.0,7052.0,70529.0,3.0,24808.011054992676
11.0,10.0,7934.0,79345.0,3.0,29947.822332382202
12.0,10.0,8816.0,88162.0,4.0,36382.67683982849
