threshold,support,chunk_size,c_%,f_items,time
0.01,8,881,0.01,70,764.5847797393799
0.01,44,4408,0.05,70,9012.372016906738
0.01,88,8816,0.1,72,20465.818881988525
0.01,176,17632,0.2,64,47880.98907470703
0.01,264,26448,0.3,64,87586.8706703186
0.01,352,35264,0.4,61,138440.53602218628
0.01,440,44081,0.5,59,198554.42309379578
0.01,528,52897,0.6,56,269240.7298088074
0.01,617,61713,0.7,51,360820.3270435333
0.01,705,70529,0.8,48,462929.73017692566
0.01,793,79345,0.9,50,542564.3677711487
0.01,881,88162,1,50,677706.2518596649
0.05,44,881,0.01,10,4640.87700843811
0.05,220,4408,0.05,9,34243.32499504089
0.05,440,8816,0.1,10,67985.30411720276
0.05,881,17632,0.2,9,134152.63390541077
0.05,1322,26448,0.3,10,208325.10900497437
0.05,1763,35264,0.4,10,294585.214138031
0.05,2204,44081,0.5,9,382861.5868091583
0.05,2644,52897,0.6,9,434015.05303382874
0.05,3085,61713,0.7,9,509683.8250160217
0.05,3526,70529,0.8,9,586751.5671253204
0.05,3967,79345,0.9,9,670230.8831214905
0.05,4408,88162,1,9,769781.3251018524
0.1,88,881,0.01,4,5348.264932632446
0.1,440,4408,0.05,5,38903.21087837219
0.1,881,8816,0.1,3,77293.59793663025
0.1,1763,17632,0.2,5,159991.71996116638
0.1,2644,26448,0.3,5,246949.97215270996
0.1,3526,35264,0.4,5,326840.25287628174
0.1,4408,44081,0.5,3,394113.14487457275
0.1,5289,52897,0.6,3,468592.7941799164
0.1,6171,61713,0.7,2,553734.5151901245
0.1,7052,70529,0.8,2,619359.5430850983
0.1,7934,79345,0.9,2,740319.9181556702
0.1,8816,88162,1,2,813318.0170059204
