#,threshold,support,chunk_size,c_%,buckets,f_items,time
1,0.01,7,881,0.01,5924,90,104.40278053283691
2,0.01,43,4408,0.05,13562,94,637.1526718139648
3,0.01,87,8816,0.1,16690,87,1207.3688507080078
4,0.01,175,17632,0.2,19822,83,2373.944044113159
5,0.01,263,26448,0.3,23362,73,3661.222219467163
6,0.01,351,35264,0.4,25412,72,4894.1650390625
7,0.01,439,44081,0.5,27914,67,6057.496070861816
8,0.01,527,52897,0.6,29116,62,7289.021968841553
9,0.01,616,61713,0.7,30150,57,8412.926197052002
10,0.01,704,70529,0.8,30990,58,9607.959032058716
11,0.01,792,79345,0.9,31964,58,11110.300064086914
12,0.01,880,88162,1,32938,58,12901.190042495728
13,0.05,43,881,0.01,5924,8,69.3199634552002
14,0.05,219,4408,0.05,13562,9,472.6121425628662
15,0.05,439,8816,0.1,16690,9,948.9119052886963
16,0.05,880,17632,0.2,19822,9,1870.7020282745361
17,0.05,1321,26448,0.3,23362,9,2860.4469299316406
18,0.05,1762,35264,0.4,25412,9,3903.0699729919434
19,0.05,2203,44081,0.5,27914,9,5083.524227142334
20,0.05,2643,52897,0.6,29116,8,6001.985788345337
21,0.05,3084,61713,0.7,30150,7,6871.065139770508
22,0.05,3525,70529,0.8,30990,7,7851.999044418335
23,0.05,3966,79345,0.9,31964,7,9126.17802619934
24,0.05,4407,88162,1,32938,7,10168.691873550415
25,0.1,87,881,0.01,5924,5,68.78280639648438
26,0.1,439,4408,0.05,13562,4,466.2923812866211
27,0.1,880,8816,0.1,16690,4,949.4380950927734
28,0.1,1762,17632,0.2,19822,4,1851.6762256622314
29,0.1,2643,26448,0.3,23362,5,2854.2938232421875
30,0.1,3525,35264,0.4,25412,4,3871.993064880371
31,0.1,4407,44081,0.5,27914,4,4908.132076263428
32,0.1,5288,52897,0.6,29116,4,5839.300870895386
33,0.1,6170,61713,0.7,30150,4,6793.398141860962
34,0.1,7051,70529,0.8,30990,3,7803.066968917847
35,0.1,7933,79345,0.9,31964,3,8978.15203666687
36,0.1,8815,88162,1,32938,4,10109.61365699768
